n                   , 32768               , 1024                
16                  ,327                 ,327                 
32                  ,1184                ,1186                
64                  ,4457                ,4472                
128                 ,17199               ,17208               
256                 ,67355               ,67344               
512                 ,266166              ,266072              
1024                ,1057288             ,1057038             
2048                ,4213165             ,4212325             
4096                ,16817593            ,16814461            
8192                ,67194892            ,67185266            
16384               ,268618067           ,268589846           
32768               ,1074126637          ,1074051970          
65536               ,800068              ,621496              
